module_id,ip_last,dacq_board,fpm_sector,fpm_position,bp_slot
1028,198,1,7,21,1
1029,199,1,7,22,2
1031,200,1,7,23,3
1032,201,1,7,24,4
1022,192,2,7,15,5
1023,193,1,7,16,6
1024,194,1,7,17,7
1025,195,1,7,18,8
1026,196,1,7,19,9
1017,187,2,7,10,10
1018,188,2,7,11,11
1019,189,2,7,12,12
1020,190,1,7,13,13
1021,191,1,7,14,14
1008,182,2,7,5,15
1011,183,2,7,6,16
1014,184,2,7,7,17
1015,185,2,7,8,18
1016,186,1,7,9,19
1006,177,2,7,0,20
1007,178,2,7,1,21
1027,197,1,7,20,0
